agent_version,case_id,input,expected_tool,actual_tool,expected_path,actual_path,answer_score,tool_correct,trajectory_correct,latency,success,failure_reason
v1,case_001,What is Retrieval-Augmented Generation (RAG) used for?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.012442,True,
v1,case_002,Can you explain what an embedding vector is used for?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.008867,True,
v1,case_003,Why do AI systems sometimes hallucinate false information?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.002248,True,
v1,case_004,What makes an AI agent different from a simple chatbot?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.002327,True,
v1,case_005,Calculate 15 + 27,calculator,calculator,router > calculator > answer > evaluate,router > calculator > answer > evaluate,1.0,True,True,0.002688,True,
v1,case_006,What is 144 / 12?,calculator,calculator,router > calculator > answer > evaluate,router > calculator > answer > evaluate,1.0,True,True,0.001851,True,
v1,case_007,Evaluate 12 * 8,calculator,calculator,router > calculator > answer > evaluate,router > calculator > answer > evaluate,1.0,True,True,0.001829,True,
v1,case_008,Evaluate 100 - 45,calculator,calculator,router > calculator > answer > evaluate,router > calculator > answer > evaluate,1.0,True,True,0.00181,True,
v1,case_009,"Hello, how are you today?",direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.002125,True,
v1,case_010,What is your name?,direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.003407,True,
v1,case_011,Can you tell me a joke?,direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.002222,True,
v1,case_012,Thank you for your help today.,direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.002229,True,
v2,case_001,What is Retrieval-Augmented Generation (RAG) used for?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.002373,True,
v2,case_002,Can you explain what an embedding vector is used for?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.00229,True,
v2,case_003,Why do AI systems sometimes hallucinate false information?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.002319,True,
v2,case_004,What makes an AI agent different from a simple chatbot?,knowledge,knowledge,router > knowledge > answer > evaluate,router > knowledge > answer > evaluate,1.0,True,True,0.002215,True,
v2,case_005,Calculate 15 + 27,calculator,calculator,router > calculator > answer > evaluate,router > calculator > answer > evaluate,1.0,True,True,0.003321,True,
v2,case_006,What is 144 / 12?,calculator,calculator,router > calculator > answer > evaluate,router > calculator > answer > evaluate,1.0,True,True,0.002937,True,
v2,case_007,Evaluate 12 * 8,calculator,knowledge,router > calculator > answer > evaluate,router > knowledge > answer > evaluate,0.0,False,False,0.002387,False,wrong tool
v2,case_008,Evaluate 100 - 45,calculator,knowledge,router > calculator > answer > evaluate,router > knowledge > answer > evaluate,0.0,False,False,0.002061,False,wrong tool
v2,case_009,"Hello, how are you today?",direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.002192,True,
v2,case_010,What is your name?,direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.00226,True,
v2,case_011,Can you tell me a joke?,direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.002364,True,
v2,case_012,Thank you for your help today.,direct,direct,router > direct > answer > evaluate,router > direct > answer > evaluate,1.0,True,True,0.002161,True,
