experiment_name,question_id,question,ground_truth,generated_answer,retrieved_doc_ids,top_retrieval_score,precision_at_k,recall_at_k,mrr,hit_rate_at_k,answer_accuracy,answer_relevance,faithfulness_score,hallucination_rate,unsupported_sentence_count,retrieval_latency_s,generation_latency_s,evaluation_latency_s,total_latency_s,input_tokens,output_tokens,total_tokens,estimated_cost_usd,failure_category
primary_top_k_3,q001,What is machine learning?,"Machine learning is a field of AI where systems learn patterns from data instead of following explicit rules, adjusting parameters during training to make predictions on new data.","Machine learning is a field of artificial intelligence in which systems learn patterns from data rather than following explicitly programmed rules. A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. Retrieval-augmented generation, or RAG, is an architecture that combines a retrieval system with a text generation model.",doc_001;doc_002;doc_003,0.27607882022857666,0.3333333333333333,1.0,1.0,1.0,0.5217491984367371,0.3061862289905548,1.0,0.0,0,0.00566489998891484,0.002058099998976104,0.0022232000046642497,0.009946199992555194,151,64,215,0.0,low_relevance
primary_top_k_3,q002,What are the three main categories of machine learning?,"The three main categories are supervised learning, unsupervised learning, and reinforcement learning.","between two pieces of text can then be measured using metrics like cosine similarity, which computes the cosine of the angle between two vectors. Large language models, or LLMs, are neural networks trained on massive amounts of text to predict the next token in a sequence. Modern LLMs are typically built on the transformer architecture and are fine-tuned with techniques such as instruction tuning and reinforcement learning",doc_004;doc_002;doc_002,0.3333333730697632,0.0,0.0,0.0,0.0,0.3401506841182709,0.42424243688583374,1.0,0.0,0,0.0002327999973203987,0.0007974999898578972,0.0018066000047838315,0.0028368999919621274,120,67,187,0.0,retrieval_failure
primary_top_k_3,q003,What is a large language model trained to do?,"An LLM is a neural network trained on large amounts of text to predict the next token in a sequence, which lets it learn grammar, facts, and reasoning patterns.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. The transformer is a neural network architecture introduced in the paper ""Attention Is All You Need."" It relies entirely on a mechanism called self-attention, which allows every token in a sequence to directly attend to every other token, rather than processing the sequence step by step as recurrent networks do. AI agents are systems that use a language model as a reasoning engine to decide which actions to take in order to accomplish a goal, often in a loop of observing, reasoning, and acting.",doc_001;doc_005;doc_008,0.4785366356372833,0.0,0.0,0.0,0.0,0.5838071703910828,0.5359422564506531,1.0,0.0,0,0.00024759999359957874,0.001105000003008172,0.00272019999101758,0.004072799987625331,188,110,298,0.0,retrieval_failure
primary_top_k_3,q004,What techniques are used to align LLMs with user intent?,Techniques such as instruction tuning and reinforcement learning from human feedback are used to fine-tune LLMs to be more helpful and aligned.,"the transformer architecture and are fine-tuned with techniques such as instruction tuning and reinforcement learning from human feedback to make them more helpful and aligned with user intent. Modern LLMs are typically built on the transformer architecture and are fine-tuned with techniques such as instruction tuning and reinforcement learning AI agents are systems that use a language model as a reasoning engine to decide which actions to take in order to accomplish a goal, often in a loop of observing, reasoning, and acting.",doc_002;doc_002;doc_008,0.3077934980392456,0.6666666666666666,1.0,1.0,1.0,0.6562060713768005,0.3680349588394165,1.0,0.0,0,0.0004887999966740608,0.0037198999925749376,0.004293000005418435,0.008501699994667433,157,83,240,0.0,low_relevance
primary_top_k_3,q005,What is retrieval augmented generation?,"RAG is an architecture that combines a retrieval system with a generation model, retrieving relevant passages from an external knowledge base and conditioning generation on that context.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. Fine-tuning is the process of taking a pretrained model and continuing its training on a smaller, task-specific dataset so that it becomes better suited to a particular domain or behavior. A system can retrieve perfectly and still generate a poor answer, or generate a fluent answer that is not actually supported by the retrieved evidence.",doc_001;doc_007;doc_009,0.19754591584205627,0.0,0.0,0.0,0.0,0.40955016016960144,0.20889319479465485,1.0,0.0,0,0.000315699988277629,0.0011145000025862828,0.0025966999965021387,0.0040268999873660505,157,81,238,0.0,retrieval_failure
primary_top_k_3,q006,Why does RAG help reduce hallucination?,"RAG grounds the generator in retrieved passages from an external knowledge base instead of relying solely on parameters learned during training, which reduces hallucination and allows citing sources.","They are a common component in production RAG systems, though small projects can often use a simple in-memory array with cosine similarity instead. They are a common component in production RAG systems, though small projects can often use AI agents are systems that use a language model as a reasoning engine to decide which actions to take in order to accomplish a goal, often in a loop of observing, reasoning, and acting.",doc_006;doc_006;doc_008,0.1632993072271347,0.0,0.0,0.0,0.0,0.1204828992486,0.17960530519485474,1.0,0.0,0,0.0001804999919841066,0.0012711000017588958,0.003004400001373142,0.004455999995116144,148,72,220,0.0,retrieval_failure
primary_top_k_3,q007,What is an embedding?,"An embedding is a dense numerical vector representation of text or other data, designed so semantically similar items are close together in vector space.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. detection is an active research area; simple proxies such as measuring semantic overlap between the answer and the retrieved context provide useful but imperfect signals. Retrieval-augmented generation, or RAG, is an architecture that combines a retrieval system with a text generation model.",doc_001;doc_010;doc_003,0.22086304426193237,0.0,0.0,0.0,0.0,0.2476302683353424,0.2913857698440552,1.0,0.0,0,0.0004978999932063743,0.0025554999883752316,0.0036456999951042235,0.0066990999766858295,148,68,216,0.0,retrieval_failure
primary_top_k_3,q008,How is similarity between two embeddings typically measured?,"Similarity between two embeddings is commonly measured using cosine similarity, which computes the cosine of the angle between the two vectors.","between two pieces of text can then be measured using metrics like cosine similarity, which computes the cosine of the angle between two vectors. detection is an active research area; simple proxies such as measuring semantic overlap between the answer and the retrieved context provide useful but imperfect signals. Common categories include supervised learning, where labeled examples guide training, unsupervised learning, where",doc_004;doc_010;doc_001,0.2357022613286972,0.3333333333333333,1.0,1.0,1.0,0.7319250702857971,0.3061862587928772,1.0,0.0,0,0.0002792000013869256,0.0014094000071054325,0.002214000007370487,0.003902600015862845,116,62,178,0.0,low_relevance
primary_top_k_3,q009,What mechanism does the transformer architecture rely on?,"The transformer relies on self-attention, which lets every token in a sequence directly attend to every other token, enabling parallel processing.","between two pieces of text can then be measured using metrics like cosine similarity, which computes the cosine of the angle between two vectors. This reduces hallucination, allows the system to cite sources, and lets the knowledge base be updated without retraining the underlying model. The transformer is a neural network architecture introduced in the paper ""Attention Is All You Need."" It relies entirely on a mechanism called self-attention, which allows every token in a sequence to directly attend to every other token, rather than processing the sequence step by step as recurrent networks do.",doc_004;doc_003;doc_005,0.2357022613286972,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5571997761726379,0.31492605805397034,1.0,0.0,0,0.00023890000011306256,0.0009311000030720606,0.0021370000031311065,0.0033070000063162297,118,95,213,0.0,low_relevance
primary_top_k_3,q010,What is a vector database used for?,"A vector database is a specialized store optimized for high-dimensional embedding vectors, supporting approximate nearest neighbor search to find similar vectors quickly.","A vector database is a specialized data store optimized for storing and querying high-dimensional embedding vectors. A system can retrieve perfectly and still generate a poor answer, or generate a fluent answer that is not actually supported by the retrieved evidence. A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data.",doc_006;doc_009;doc_001,0.35464969277381897,0.3333333333333333,1.0,1.0,1.0,0.53375244140625,0.47711873054504395,1.0,0.0,0,0.00029579999682027847,0.00286019999475684,0.0044941000087419525,0.007650100000319071,159,67,226,0.0,low_relevance
