question_id,question,expected_answer,generated_answer,retrieved_doc_ids,top_retrieval_score,accuracy_score,faithfulness_score,relevance_score,failure_category
q001,What is machine learning?,"Machine learning is a field of AI where systems learn patterns from data instead of following explicit rules, adjusting parameters during training to make predictions on new data.","Machine learning is a field of artificial intelligence in which systems learn patterns from data rather than following explicitly programmed rules. A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. Retrieval-augmented generation, or RAG, is an architecture that combines a retrieval system with a text generation model.",doc_001;doc_002;doc_003,0.27607882022857666,0.5217491984367371,1.0,0.3061862289905548,low_relevance
q002,What are the three main categories of machine learning?,"The three main categories are supervised learning, unsupervised learning, and reinforcement learning.","between two pieces of text can then be measured using metrics like cosine similarity, which computes the cosine of the angle between two vectors. Large language models, or LLMs, are neural networks trained on massive amounts of text to predict the next token in a sequence. Modern LLMs are typically built on the transformer architecture and are fine-tuned with techniques such as instruction tuning and reinforcement learning",doc_004;doc_002;doc_002,0.3333333730697632,0.3401506841182709,1.0,0.42424243688583374,retrieval_failure
q003,What is a large language model trained to do?,"An LLM is a neural network trained on large amounts of text to predict the next token in a sequence, which lets it learn grammar, facts, and reasoning patterns.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. The transformer is a neural network architecture introduced in the paper ""Attention Is All You Need."" It relies entirely on a mechanism called self-attention, which allows every token in a sequence to directly attend to every other token, rather than processing the sequence step by step as recurrent networks do. AI agents are systems that use a language model as a reasoning engine to decide which actions to take in order to accomplish a goal, often in a loop of observing, reasoning, and acting.",doc_001;doc_005;doc_008,0.4785366356372833,0.5838071703910828,1.0,0.5359422564506531,retrieval_failure
q004,What techniques are used to align LLMs with user intent?,Techniques such as instruction tuning and reinforcement learning from human feedback are used to fine-tune LLMs to be more helpful and aligned.,"the transformer architecture and are fine-tuned with techniques such as instruction tuning and reinforcement learning from human feedback to make them more helpful and aligned with user intent. Modern LLMs are typically built on the transformer architecture and are fine-tuned with techniques such as instruction tuning and reinforcement learning AI agents are systems that use a language model as a reasoning engine to decide which actions to take in order to accomplish a goal, often in a loop of observing, reasoning, and acting.",doc_002;doc_002;doc_008,0.3077934980392456,0.6562060713768005,1.0,0.3680349588394165,low_relevance
q005,What is retrieval augmented generation?,"RAG is an architecture that combines a retrieval system with a generation model, retrieving relevant passages from an external knowledge base and conditioning generation on that context.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. Fine-tuning is the process of taking a pretrained model and continuing its training on a smaller, task-specific dataset so that it becomes better suited to a particular domain or behavior. A system can retrieve perfectly and still generate a poor answer, or generate a fluent answer that is not actually supported by the retrieved evidence.",doc_001;doc_007;doc_009,0.19754591584205627,0.40955016016960144,1.0,0.20889319479465485,retrieval_failure
q006,Why does RAG help reduce hallucination?,"RAG grounds the generator in retrieved passages from an external knowledge base instead of relying solely on parameters learned during training, which reduces hallucination and allows citing sources.","They are a common component in production RAG systems, though small projects can often use a simple in-memory array with cosine similarity instead. They are a common component in production RAG systems, though small projects can often use AI agents are systems that use a language model as a reasoning engine to decide which actions to take in order to accomplish a goal, often in a loop of observing, reasoning, and acting.",doc_006;doc_006;doc_008,0.1632993072271347,0.1204828992486,1.0,0.17960530519485474,retrieval_failure
q007,What is an embedding?,"An embedding is a dense numerical vector representation of text or other data, designed so semantically similar items are close together in vector space.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. detection is an active research area; simple proxies such as measuring semantic overlap between the answer and the retrieved context provide useful but imperfect signals. Retrieval-augmented generation, or RAG, is an architecture that combines a retrieval system with a text generation model.",doc_001;doc_010;doc_003,0.22086304426193237,0.2476302683353424,1.0,0.2913857698440552,retrieval_failure
q008,How is similarity between two embeddings typically measured?,"Similarity between two embeddings is commonly measured using cosine similarity, which computes the cosine of the angle between the two vectors.","between two pieces of text can then be measured using metrics like cosine similarity, which computes the cosine of the angle between two vectors. detection is an active research area; simple proxies such as measuring semantic overlap between the answer and the retrieved context provide useful but imperfect signals. Common categories include supervised learning, where labeled examples guide training, unsupervised learning, where",doc_004;doc_010;doc_001,0.2357022613286972,0.7319250702857971,1.0,0.3061862587928772,low_relevance
q009,What mechanism does the transformer architecture rely on?,"The transformer relies on self-attention, which lets every token in a sequence directly attend to every other token, enabling parallel processing.","between two pieces of text can then be measured using metrics like cosine similarity, which computes the cosine of the angle between two vectors. This reduces hallucination, allows the system to cite sources, and lets the knowledge base be updated without retraining the underlying model. The transformer is a neural network architecture introduced in the paper ""Attention Is All You Need."" It relies entirely on a mechanism called self-attention, which allows every token in a sequence to directly attend to every other token, rather than processing the sequence step by step as recurrent networks do.",doc_004;doc_003;doc_005,0.2357022613286972,0.5571997761726379,1.0,0.31492605805397034,low_relevance
q010,What is a vector database used for?,"A vector database is a specialized store optimized for high-dimensional embedding vectors, supporting approximate nearest neighbor search to find similar vectors quickly.","A vector database is a specialized data store optimized for storing and querying high-dimensional embedding vectors. A system can retrieve perfectly and still generate a poor answer, or generate a fluent answer that is not actually supported by the retrieved evidence. A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data.",doc_006;doc_009;doc_001,0.35464969277381897,0.53375244140625,1.0,0.47711873054504395,low_relevance
q011,What is fine-tuning?,"Fine-tuning is continuing to train a pretrained model on a smaller, task-specific dataset so it performs better on a particular domain or behavior.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. Common categories include supervised learning, where labeled examples guide training, unsupervised learning, where Common categories include supervised learning, where labeled examples guide training, unsupervised learning, where the model finds structure in unlabeled data, and reinforcement learning, where an agent learns by receiving rewards or penalties for its actions.",doc_001;doc_001;doc_010,0.25503066182136536,0.22299788892269135,1.0,0.2311251014471054,retrieval_failure
q012,What is LoRA and why is it useful?,"LoRA, or low-rank adaptation, is a parameter-efficient fine-tuning method that trains only a small number of additional parameters, reducing compute and memory needs while retaining strong performance.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. Fine-tuning is the process of taking a pretrained model and continuing its training on a smaller, task-specific dataset so that it becomes better suited to a particular domain or behavior. detection is an active research area; simple proxies such as measuring semantic overlap between the answer and the retrieved context provide useful but imperfect signals.",doc_001;doc_007;doc_010,0.31429362297058105,0.31232166290283203,1.0,0.3242059350013733,low_relevance
q013,What is an AI agent?,"An AI agent is a system that uses a language model as a reasoning engine to decide which actions to take toward a goal, often calling external tools in a loop of observing, reasoning, and acting.","A model is trained on historical examples, adjusts its internal parameters to minimize prediction error, and is then used to make predictions on new, unseen data. detection is an active research area; simple proxies such as measuring semantic overlap between the answer and the retrieved context provide useful but imperfect signals. Retrieval-augmented generation, or RAG, is an architecture that combines a retrieval system with a text generation model.",doc_001;doc_010;doc_003,0.19754591584205627,0.4463762640953064,1.0,0.26062336564064026,retrieval_failure
q014,Why is it important to evaluate both retrieval and generation quality in a RAG system?,"A RAG system can retrieve perfectly and still generate a poor answer, or generate a fluent answer that is not supported by the retrieved evidence, so both retrieval quality and generation quality must be measured separately.","Fine-tuning is the process of taking a pretrained model and continuing its training on a smaller, task-specific dataset so that it becomes better suited to a particular domain or behavior. Generation quality measures whether the final answer is accurate, relevant to the question, and faithful to the retrieved context. AI agents are systems that use a language model as a reasoning engine to decide which actions to take in order to accomplish a goal, often in a loop of observing, reasoning, and acting.",doc_007;doc_009;doc_008,0.35791701078414917,0.5191662907600403,1.0,0.4646390676498413,low_relevance
q015,What is hallucination in the context of language models?,Hallucination is generated content that sounds fluent and confident but is not supported by the source material or is factually incorrect.,"Hallucination in the context of language models refers to generated content that is fluent and confident but not supported by the source material or factually incorrect. In a RAG system, hallucination can be reduced, but not eliminated, by grounding generation in retrieved context. detection is an active research area; simple proxies such as measuring semantic overlap between the answer and the retrieved context provide useful but imperfect signals.",doc_010;doc_010;doc_005,0.5724197626113892,0.6253990530967712,1.0,0.5570861101150513,correct_answer
